id,samples,targets
433,@KatiePhang That’s a lot of pressure on those guys. Hope they’re ready to face the music.,2
453,"@Timcast You're right, but the struggle is real. It's not just about identity—it's about being seen, heard, and accepted.",2
535,@AbrahamHamadeh Abraham is a Republican?,1
679,@kaitlancollins @JenMcCarthy23 It will be interesting to see if this is the first of many.,1
199,"@Strandjunker Yeah, and it’s like reality TV with a federal warrant.",2
767,"@elonmusk @finkd Elon by tombstone piledriver, round 2",0
407,@RyanAFournier Absolutely! I love him.,1
631,"@ReproRights @CRR_Founders @ReproRightsTX 

And the answer is ""Yes, we will.""

It's so important to support these women.",1
965,"@RichardGrenell If Hawaii's money went to Ukraine, then why isn't that money being used to fund the war? Or is it being siphoned off into the pockets of politicians and oligarchs? Let's get real.",2
611,@POTUS You're making the super wealthy pay their fair share by taking away their wealth.,1
237,@RealCandaceO Hunter Biden,0
128,"@RepJeffries Bootleg Obama Jefferies acting like Americans don't go to the gas station or grocery shop.

He acts like we dont have savings accounts. 

You try to speak like Obamo, and you lie like Biden.

Fraud.",0
181,@Ronald__H @JOHNSALTZM19662 Followed,1
703,"@JamesFallows @WattersOnFox @GuttmacherCenter I’m tired of your posts, too.",1
458,@MarkWarner You're a fraud and a disgrace. You were on the floor of the Senate on Jan. 6? Where were you when the Democrats were blocking the certification of the election? Where were you when the Senate was being held hostage by a mob? You're just another Democrat who's more interested in power than protecting democracy.,2
92,@Scaramucci Trump is a criminal. He should be held accountable.  This is a new day and it's time to stop making excuses for Trump.,1
200,@esglaude @realchrisrufo You are so full of shit.  You are a disgusting person.  I hope you go to prison,1
228,"@daviddaleiden I think that's the most important thing we can do—give everyone a chance. But let's be real, some people just don't want to take it.",2
809,"@JonathanTurley You ended up in my timeline FOR NO REASON.  Now, I am forced to #BlockTheBlue",0
86,@meganamram @drewmcgrath1234 He's the president of the Trump cult.,1
101,"@MarkWarner You’re just trying to get a federal building in Virginia to boost your own political standing. It’s all about ego and job creation for the federal government, not national security.",2
409,"@realJojoJerz That's a big deal. It's important that these documents are reviewed thoroughly to ensure there's no misuse of classified information. Transparency is key, especially with someone in a high-profile position. Let's hope this leads to accountability.",2
94,@WisGOP @tammybaldwin You are both shameless.,1
368,@realchrisrufo I think there's more than one university in Florida.,1
462,"@Jim_Jordan It’s not groceries that are expensive, it’s everything else.",1
898,@DeItaone 🤣🤣🤣,1
977,"@charliekirk11 You're right, but at least Biden is trying. Trump would’ve just blamed the Hawaiians and called it a day.",2
514,"@harryjsisson And yet, he was killed by the FBI, not by the people he threatened.",2
432,@HelenKennedy That’s the real story. The ones who matter aren’t being touched.,2
412,@kimguilfoyle Your own party has been in disarray since the day you were elected.,1
194,"@PrezLives2022 @KitKatKatie76 @FlindyD @BigOcean3xVaxxx @STabbytosavit @judyr4792 @Newyorker2212 @BreakingKind @OGNurseRatchet @SandybSassy @StaywokeV @CaroLicar2 @MicheleJeanson1 @24baseballReed @tigerkat2222 @rhmdc187702 @just_my_tweetz @DAJensen07  
No adds, just vibes. 🌟",2
330,@SteveScalise And I’m sure that will be very fun.,1
864,"@RepJamesComer You’re not the first to say that. Let’s get to the truth, not the theatrics.",2
515,@The_Trump_Train NO,2
184,@PalmerReport I love this video of you.,1
650,@greta Rabbit Hole with Kiefer Sutherland,0
322,@Travis_in_Flint Because they are all corrupt politicians.,1
100,@MichaelSteele Phuq no.,0
145,@atensnut They're after all of you because you're all crooks.,1
291,"@TomCottonAR You know what? I'd rather know the truth than have you and your ilk spin it. If Hunter Biden did anything, it's not for the people of this country. It's for the people who want to destroy this nation from within. And if you're asking that question, you're already part of the problem. Let's get to the bottom of it, not just for Hunter, but for the integrity of this nation.",2
623,"@willchamberlain You mean like when people are arrested for treason, or for trying to overthrow our government?",1
216,@iluminatibot Because war is good for the economy.,1
934,@BaddCompani 👀👀👀,2
689,@laurenboebert What do you want him to do? Throw them paper towels?,0
550,"@AWeissmann_ @RadioFreeTom @NBCNews Exactly. And yet, somehow, he's still managing to make a mess of everything.",2
730,@Victorshi2020 Democrats are a joke,1
745,@WarlordDilley rigged,0
825,@WatcherGuru Big move for X's financial ambitions 🚀,2
583,@Rschooley It’s his only hope of remaining relevant.,1
257,"@TristanSnell You’re right.  
But the law is a tool.  
Who holds it?",2
