id,samples,targets
0,"@AoDespair In hindsight, the craziest thing about that was that Trump actually thought the GOP base might reject him once they learned about such scandalous behavior.",0
1,"@catturd2 BREAKING... 

Merrick Garland has appointed Sam Bankman-fried as special counsel to investigate cryptocurrency crimes.",1
2,@cmclymer It was a very well thought out plan.,1
3,@aintscarylarry He's crying because he's a loser.,1
4,"@mtgreenee You’re right — the people have the right to vote for who they want. But let’s be clear: the DOJ isn’t “weaponized” by Democrats — it’s being used by a corrupt administration that has spent years trying to undermine the legitimacy of a president they lost. If you’re voting for Trump despite everything, that’s your choice. But don’t pretend the DOJ is some communist plot — it’s a political machine trying to silence a legitimate voice.",2
5,@laurenboebert Traitors belong in prison. Not the wh,0
6,@BlackKnight10k Lindsey Graham is definitely on that list.,0
7,@NickAdamsinUSA Nazi...,0
8,@elonmusk The future is looking bright... just don't let it crash into the past.,2
9,@KLoeffler The people of Georgia know who did it and who didn’t,1
10,"@rawsalerts I’m sorry, but this is the best news I have heard all day.

I hope they indict him.",1
11,@TristanSnell We have a 14th Amendment.  The Republicans are violating it.  You need to do something about it.  Do you know where your 14th Amendment is?,1
12,@MustangMan_TX Yep. Not just America.,0
13,"@Jim_Jordan Groceries are too expensive, so make food stamps more expensive to get more money to buy groceries.",1
14,@kylegriffin1 @RadioFreeTom @NBCNews Good luck !,0
15,@AndrewDesiderio @ChrisMurphyCT @KatieSullivan1100 I think that is the only way they can do it.,1
16,@KamVTV 🧐🔥,2
17,@itsALLrisky The people who are not asleep,1
18,"@RyanAFournier That's the spirit! Truth is truth, no matter what they say.",2
19,@DrLoupis I agree,1
20,"@ACTBrigitte Yeah, and you're just the banana in the bunch.",2
21,@GrahamAllen_1 The only war they’ve got is with the truth.,2
22,@KVUE I’m in awe of the way the news media can turn any country into a violent hell hole.  🤷‍♀️,1
23,"@MarshaBlackburn You're spouting conspiracy nonsense again, Marsha. The Deep State? Please. The only thing protecting Democrats is the law, and if they're guilty, they should be held accountable—just like everyone else.",2
24,@JudiciaryGOP GFY,1
25,@LeeMZeldin you remember Trump lost last time. It wasn't close,0
26,"@GOP That's a lot of time spent ""on vacation"" — maybe he's just trying to get some R&R between all those *important* meetings and policy work.",2
27,"@LeadingReport @SSlade515 Just look at the all cause mortality since it was given. It’s off the charts, so is illness, chronic disease, blood clots, and heart problems.",0
28,@TheRickWilson OMG. I am not sure I can imagine him crossing that line,0
29,"@zachxbt That’s a relief, hope it resolves things amicably. Sometimes legal battles just add more noise than value.",2
30,@Jim_Jordan Jim Jordan should be nervous. ALL the witnesses who testified before the Grand Juries are Republicans. Not Democrats. Not Independents. All Republicans. That makes these indictments the polar opposite of a political witch hunt.,1
31,@POTUS And yet you're doing nothing about the drought. And you're going to blame the weather on the climate.,1
32,@rgoodlaw That's why Trump is the most dangerous criminal in the world.,1
33,"@AWeissmann_ Absolutely, it's a mess. Garland's delays have created a chaotic situation that's being exploited for political gain.",2
34,@StephenM @JenniJenniJenni @LizBrennan45127880 @RuthieR1962 @mikemc27462279 @Brennan44028747 @joejoejoejoejoej @joejoejoejoejoej @joejoejoejoejoej,1
35,@benshapiro Lol. You are such a joke.,1
36,"@antonioguterres The planet is screaming, but the politicians are still debating who gets the blame. Climate action? We need a plan, not a hashtag.",2
37,"@POTUS We just want you to stop reading porn to kids, Pedo.",0
38,"@mikepompeo ""Be on your guard; stand firm in the faith; be courageous; be strong."" 1 Corinthians 16:13
#SundayScripture ✝️",1
39,@UPP_Polls @realDonaldTrump Depends on the locker room.,1
40,"@SecBlinken You're condemning Russia's actions while your own administration is quietly enabling the same tactics here at home. The hypocrisy is staggering. If you're so concerned about ""silencing the truth,"" why are you so silent when it's happening in America? The real message is clear: you're not standing up for justice, you're just playing the same game.",2
41,"@Lancegooden LOL you never fought for free and fair elections, you fascist fraud.",0
42,@POTUS Every American that works hard does have a job. That’s the way isn’t always worked. The problem is the cost of living has doubled since you took office.,0
43,"@LeaderMcConnell You're right, the only thing made in America is the mess.",2
44,@dogeofficialceo I think about that everyday,1
45,@RockyMountViews Mum,0
46,"@POTUS Veterans deserve respect, not political pandering. Real support means fixing the VA system, holding leaders accountable, and ensuring no veteran is left behind. Not another empty promise.",2
47,"@Spawn_03 That’s the kind of rhetoric that gets you banned, but hey, at least it’s entertaining.",2
48,@SRXracing let’s go ron 👏 #CampingWorldSRX,0
49,@GovTimWalz Your state has been a disaster for teachers.  And the schools are underfunded.,1
50,@DeItaone @ElectionWiz They voted for it.,0
51,"@jamiedupree lol this is a joke, right?",1
52,@SymoneDSanders Can't wait to see you all — and the chair! 🔥,2
53,@MayoIsSpicyy @KellDA OMG Mayo! Pins & needles!,0
54,@Keggs719 With the 10th he gets a free pizza,0
55,@ACTBrigitte I believe that will happen,1
56,@dogeofficialceo Why go in the internet,0
57,"@ProjectLincoln “Strong economy?” 

Cripe these people are shameless…",0
58,"@davidhogg111 congrats on the degree! now go make some real change and stop talking about ""fighting the far right"" like it's a thing that's gonna happen tomorrow.",2
59,@PalmerReport I think 1 or 3,0
60,@bennyjohnson You're a joke. You're a joke.,1
61,"@imillhiser You're right, it's ugly. But let's not pretend that the attacks on Hunter Biden are just about addiction. It's about politics, power, and trying to take down a president who's already been through so much. They don't care about the truth — they just want to make him look bad. And if they can make his family look like they're corrupt, all the better. It's a sick game, and it's not about the facts.",2
62,@RealCandaceO Supporting the farmers who enslaved your ancestors is not a win.,0
63,"@LakotaMan1 Yep, that's the word. Georgia's laws are pretty clear on this one. Let's keep the pressure on!",2
64,@FiveRights You’re right. The real issue isn’t Trump — it’s the system that made people afraid to think for themselves.,2
65,"@laurenboebert The economy is in the toilet, the border is open, and we’re at war with Russia.

Americans see this.

Democrats know Biden can’t win fairly so they’re cheating — this time using the judiciary.

Republicans in Congress need to do something about this election interference!",0
66,"@Timcast Oh no I’m sorry. 😔
You were just talking about his future horror story coffee commercial last night on IRL, now he will demand coffee in the horror story of our hearts.",0
67,@Liz_Wheeler You are a complete moron.,1
68,@RBReich We can't. The real issue is not the minimum wage. The real issue is we are too stupid to create an economy that supports everyone.,1
69,"@Jim_Jordan The only thing wrong is the lack of accountability for those who have broken the law. The GOP has become a party of obstruction, not governance.",2
70,"@RepJamesComer @IngrahamAngle @FoxNews Stonewalling congressional oversight is when Republicans ignore and encourage others to lawful subpoenas.

Stonewalling congressional oversight is not appointing a special counsel to investigate Hunter Biden.",0
71,"@MarshaBlackburn Well done, Biden Admin!! $36 million worth of fentanyl that is not on American streets.",0
